ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	proto	analyzer	failure_reason
1408101473.117475	COK5DYlmXxTlrzd8l	84.200.213.107	60800	192.168.0.12	80	tcp	HTTP	not a http reply line
1408101483.303776	CUgg9C4SUbmf8F6Eh6	84.200.213.107	60593	192.168.0.13	80	tcp	HTTP	not a http reply line
1408101485.230463	C5dA9e1BmeFzxit11b	84.200.213.107	47245	192.168.0.15	80	tcp	HTTP	not a http reply line
1410120425.548328	Cudrbr40iSDvGzJGkl	128.127.166.48	43206	192.168.0.13	80	tcp	HTTP	not a http reply line
1410120759.838857	CuHm4t1wYHt8a0EuJ7	195.154.140.251	60805	192.168.0.15	80	tcp	HTTP	not a http reply line
1410493201.279048	CWAnYr2i70a4HOKlmc	210.4.72.196	50281	192.168.0.12	80	tcp	HTTP	not a http reply line
1410493246.763662	CizCkN29V7TxfnJQU3	193.136.67.236	55662	192.168.0.13	80	tcp	HTTP	not a http reply line
1410493271.245032	C9INL41n6YAoRxhuc4	31.186.11.250	33619	192.168.0.15	80	tcp	HTTP	not a http reply line
1410597333.196559	Cclyaq3h79dwAE7SSi	31.209.93.18	56713	192.168.0.13	80	tcp	HTTP	not a http reply line
1411380291.905036	CfHxvl4mrFVPbRzcSj	66.232.150.228	50058	192.168.0.13	80	tcp	HTTP	not a http reply line
1411393907.355218	CVoVC442q09wg3T4d9	210.4.77.132	58177	192.168.0.12	80	tcp	HTTP	not a http reply line
1411426032.341914	Ce5rVi4pcFQ4if1Okj	79.191.123.180	33192	192.168.0.13	80	tcp	HTTP	not a http reply line
1411450461.994618	Chf80i1EAfIUu46my6	212.254.31.37	37834	192.168.0.13	80	tcp	HTTP	not a http reply line
1411507778.355986	C215NS3ugk0QPWK702	210.4.77.132	38138	192.168.0.12	80	tcp	HTTP	not a http reply line
1411511193.428824	CUwXYZ3PHfOwgWTHSh	66.232.150.228	43057	192.168.0.13	80	tcp	HTTP	not a http reply line
1411584563.505394	CgesOg4UHzbTG48Eh	195.154.8.224	49972	192.168.0.13	80	tcp	HTTP	not a http reply line
1411584564.073337	CAG1v044I3cRgMbqWh	195.154.8.224	50006	192.168.0.13	80	tcp	HTTP	not a http reply line
1411586566.747907	CN9QdP15gjFXMah649	166.70.207.2	39288	192.168.0.12	80	tcp	HTTP	not a http reply line
1411586567.994827	CxqQWj2Izil0PCjRvh	166.70.207.2	39377	192.168.0.12	80	tcp	HTTP	not a http reply line
1411617440.278435	CMn8Zz3VnVKNMfjkjh	83.31.194.222	44878	192.168.0.15	80	tcp	HTTP	not a http reply line
1411725364.598762	CKeio6sDdcoEPFZ9f	210.4.77.132	38550	192.168.0.13	80	tcp	HTTP	not a http reply line
1412921086.451896	C8L7PH09Hhdazp2Q3	92.247.49.122	46122	192.168.14.254	80	tcp	HTTP	not a http reply line
1412921086.518201	CYrSnr4mYzrc5qvZg4	92.247.49.122	23824	192.168.13.254	80	tcp	HTTP	not a http reply line
1412921086.530321	CEyu161JmGWmCDH8N7	92.247.49.122	28618	192.168.15.254	80	tcp	HTTP	not a http reply line
1412960318.738842	CZcDJNTrEXPeW6Iq6	79.172.212.87	42605	192.168.15.254	80	tcp	HTTP	not a http reply line
1412960318.744735	CvEv901oxPelHWpDc5	79.172.212.87	52699	192.168.14.254	80	tcp	HTTP	not a http reply line
1412960318.749514	C7Aln94A56sIPXbAU2	79.172.212.87	58379	192.168.13.254	80	tcp	HTTP	not a http reply line
1413093858.801913	CARNPk2L3uSptaQ5ph	50.116.14.45	39380	192.168.13.254	80	tcp	HTTP	not a http reply line
1413093858.810176	C5LcX3456MRG2IrCwi	50.116.14.45	46620	192.168.14.254	80	tcp	HTTP	not a http reply line
1413093858.856909	CFMNFw3sLhf4vQ9wk	50.116.14.45	40755	192.168.15.254	80	tcp	HTTP	not a http reply line
1413388233.398743	Cwzf8X2id7H5SZ4Pp8	212.83.171.78	50035	192.168.14.254	80	tcp	HTTP	not a http reply line
1413388233.416462	CmlsIr3BjM3fes4mDf	212.83.171.78	50033	192.168.13.254	80	tcp	HTTP	not a http reply line
1413388233.453767	CU3Le92kOPw28EPvWa	212.83.171.78	50044	192.168.15.254	80	tcp	HTTP	not a http reply line
1413436008.259812	CexciVHLx12ZG40Cb	82.103.128.8	43585	192.168.0.12	162	udp	SNMP	binpac exception: Got ASN.1 tag 0, expect 48
1413436012.859951	CW8r5B4ecifQZZNQP4	82.103.128.8	41701	192.168.0.12	69	udp	SIP	Binpac exception: binpac exception: string mismatch at /build/bro-ICKLbd/bro-2.4.1+dfsg/src/analyzer/protocol/sip/sip-protocol.pac:43: \x0aexpected pattern: "SIP/"\x0aactual data: "\x02\x01"
1413436013.259990	CexciVHLx12ZG40Cb	82.103.128.8	43585	192.168.0.12	162	udp	SIP	Binpac exception: binpac exception: string mismatch at /build/bro-ICKLbd/bro-2.4.1+dfsg/src/analyzer/protocol/sip/sip-protocol.pac:43: \x0aexpected pattern: "SIP/"\x0aactual data: "\x02\x01"
1413436032.860042	CW8r5B4ecifQZZNQP4	82.103.128.8	41701	192.168.0.12	69	udp	KRB	binpac exception: invalid index for case: KRB_PDU: -69
1413436033.259765	CexciVHLx12ZG40Cb	82.103.128.8	43585	192.168.0.12	162	udp	KRB	binpac exception: invalid index for case: KRB_PDU: -69
1413436044.796383	ChZGKo24ert3nHtXLb	82.103.128.8	48470	192.168.0.13	162	udp	SNMP	binpac exception: Got ASN.1 tag 0, expect 48
1413436049.714419	C0mod61PuXQ9mBpyE4	82.103.128.8	57950	192.168.0.13	69	udp	SIP	Binpac exception: binpac exception: string mismatch at /build/bro-ICKLbd/bro-2.4.1+dfsg/src/analyzer/protocol/sip/sip-protocol.pac:43: \x0aexpected pattern: "SIP/"\x0aactual data: "\x02\x01"
1413436049.796485	ChZGKo24ert3nHtXLb	82.103.128.8	48470	192.168.0.13	162	udp	SIP	Binpac exception: binpac exception: string mismatch at /build/bro-ICKLbd/bro-2.4.1+dfsg/src/analyzer/protocol/sip/sip-protocol.pac:43: \x0aexpected pattern: "SIP/"\x0aactual data: "\x02\x01"
1413436069.716138	C0mod61PuXQ9mBpyE4	82.103.128.8	57950	192.168.0.13	69	udp	KRB	binpac exception: invalid index for case: KRB_PDU: -69
1413436069.797075	ChZGKo24ert3nHtXLb	82.103.128.8	48470	192.168.0.13	162	udp	KRB	binpac exception: invalid index for case: KRB_PDU: -69
1413436080.671656	CxzxTx28uWbggSBM6k	82.103.128.8	33068	192.168.0.15	162	udp	SNMP	binpac exception: Got ASN.1 tag 0, expect 48
1413436084.986076	CBYIrd1X2g0QdE4H5b	82.103.128.8	55665	192.168.0.15	69	udp	SIP	Binpac exception: binpac exception: string mismatch at /build/bro-ICKLbd/bro-2.4.1+dfsg/src/analyzer/protocol/sip/sip-protocol.pac:43: \x0aexpected pattern: "SIP/"\x0aactual data: "\x02\x01"
1413436085.672580	CxzxTx28uWbggSBM6k	82.103.128.8	33068	192.168.0.15	162	udp	SIP	Binpac exception: binpac exception: string mismatch at /build/bro-ICKLbd/bro-2.4.1+dfsg/src/analyzer/protocol/sip/sip-protocol.pac:43: \x0aexpected pattern: "SIP/"\x0aactual data: "\x02\x01"
1413436104.986154	CBYIrd1X2g0QdE4H5b	82.103.128.8	55665	192.168.0.15	69	udp	KRB	binpac exception: invalid index for case: KRB_PDU: -69
1413436105.671811	CxzxTx28uWbggSBM6k	82.103.128.8	33068	192.168.0.15	162	udp	KRB	binpac exception: invalid index for case: KRB_PDU: -69
1413445646.479933	CvTBGz3V31QAz2mygh	82.103.128.8	59282	192.168.13.254	161	udp	SNMP	binpac exception: out_of_bound: ASN1EncodingMeta:more_len: 128 > 40
1413445646.782724	CRdLp44aJGAJgMf5e9	82.103.128.8	51333	192.168.14.254	69	udp	SIP	Binpac exception: binpac exception: string mismatch at /build/bro-ICKLbd/bro-2.4.1+dfsg/src/analyzer/protocol/sip/sip-protocol.pac:43: \x0aexpected pattern: "SIP/"\x0aactual data: "\x02\x01"
1413445647.240374	CRdLp44aJGAJgMf5e9	82.103.128.8	51333	192.168.14.254	69	udp	KRB	binpac exception: invalid index for case: KRB_PDU: -69
1413445651.354343	C27oQj3bAmNg82bUqg	82.103.128.8	50893	192.168.14.254	162	udp	SNMP	binpac exception: Got ASN.1 tag 0, expect 48
1413445651.462478	C27oQj3bAmNg82bUqg	82.103.128.8	50893	192.168.14.254	162	udp	SIP	Binpac exception: binpac exception: string mismatch at /build/bro-ICKLbd/bro-2.4.1+dfsg/src/analyzer/protocol/sip/sip-protocol.pac:43: \x0aexpected pattern: "SIP/"\x0aactual data: "\x02\x01"
1413445651.937545	C27oQj3bAmNg82bUqg	82.103.128.8	50893	192.168.14.254	162	udp	KRB	binpac exception: invalid index for case: KRB_PDU: -69
1413445657.350082	CChGwM1ZN0jeZeDSUd	82.103.128.8	43753	192.168.14.254	161	udp	SNMP	binpac exception: out_of_bound: ASN1EncodingMeta:more_len: 128 > 40
1413445693.978830	CvTBGz3V31QAz2mygh	82.103.128.8	59282	192.168.13.254	161	udp	SIP	Binpac exception: binpac exception: string mismatch at /build/bro-ICKLbd/bro-2.4.1+dfsg/src/analyzer/protocol/sip/sip-protocol.pac:23: \x0aexpected pattern: "[[:alnum:]@[:punct:]]+"\x0aactual data: ""
1413445699.965601	Ca8V053aSnEsLZ6kUd	82.103.128.8	56701	192.168.15.10	161	udp	SNMP	binpac exception: out_of_bound: ASN1EncodingMeta:more_len: 128 > 40
1413445704.850072	CChGwM1ZN0jeZeDSUd	82.103.128.8	43753	192.168.14.254	161	udp	SIP	Binpac exception: binpac exception: string mismatch at /build/bro-ICKLbd/bro-2.4.1+dfsg/src/analyzer/protocol/sip/sip-protocol.pac:23: \x0aexpected pattern: "[[:alnum:]@[:punct:]]+"\x0aactual data: ""
1413445713.978940	CvTBGz3V31QAz2mygh	82.103.128.8	59282	192.168.13.254	161	udp	KRB	binpac exception: invalid index for case: KRB_PDU: -69
1413445724.851475	CChGwM1ZN0jeZeDSUd	82.103.128.8	43753	192.168.14.254	161	udp	KRB	binpac exception: invalid index for case: KRB_PDU: -69
1413445741.943213	C0SEqM1cbAVwOjXSei	82.103.128.8	55269	192.168.15.254	69	udp	SIP	Binpac exception: binpac exception: string mismatch at /build/bro-ICKLbd/bro-2.4.1+dfsg/src/analyzer/protocol/sip/sip-protocol.pac:43: \x0aexpected pattern: "SIP/"\x0aactual data: "\x02\x01"
1413445742.453544	C0SEqM1cbAVwOjXSei	82.103.128.8	55269	192.168.15.254	69	udp	KRB	binpac exception: invalid index for case: KRB_PDU: -69
1413445744.314789	C3EtFbD3hSziBZ92	82.103.128.8	34453	192.168.15.254	162	udp	SNMP	binpac exception: Got ASN.1 tag 0, expect 48
1413445744.453024	C3EtFbD3hSziBZ92	82.103.128.8	34453	192.168.15.254	162	udp	SIP	Binpac exception: binpac exception: string mismatch at /build/bro-ICKLbd/bro-2.4.1+dfsg/src/analyzer/protocol/sip/sip-protocol.pac:43: \x0aexpected pattern: "SIP/"\x0aactual data: "\x02\x01"
1413445744.916759	C3EtFbD3hSziBZ92	82.103.128.8	34453	192.168.15.254	162	udp	KRB	binpac exception: invalid index for case: KRB_PDU: -69
1413445747.468449	Ca8V053aSnEsLZ6kUd	82.103.128.8	56701	192.168.15.10	161	udp	SIP	Binpac exception: binpac exception: string mismatch at /build/bro-ICKLbd/bro-2.4.1+dfsg/src/analyzer/protocol/sip/sip-protocol.pac:23: \x0aexpected pattern: "[[:alnum:]@[:punct:]]+"\x0aactual data: ""
1413445752.577804	C3cdr44DbPtyvWgRu2	82.103.128.8	35459	192.168.15.254	161	udp	SNMP	binpac exception: out_of_bound: ASN1EncodingMeta:more_len: 128 > 40
1413445767.468386	Ca8V053aSnEsLZ6kUd	82.103.128.8	56701	192.168.15.10	161	udp	KRB	binpac exception: invalid index for case: KRB_PDU: -69
1413445800.083363	C3cdr44DbPtyvWgRu2	82.103.128.8	35459	192.168.15.254	161	udp	SIP	Binpac exception: binpac exception: string mismatch at /build/bro-ICKLbd/bro-2.4.1+dfsg/src/analyzer/protocol/sip/sip-protocol.pac:23: \x0aexpected pattern: "[[:alnum:]@[:punct:]]+"\x0aactual data: ""
1413445820.086942	C3cdr44DbPtyvWgRu2	82.103.128.8	35459	192.168.15.254	161	udp	KRB	binpac exception: invalid index for case: KRB_PDU: -69
1413446755.575329	CfPKr34XJnEYMVpcui	82.103.128.8	35649	192.168.13.254	80	tcp	HTTP	not a http reply line
1413446756.602217	CP9KFaNe58WG4Soag	82.103.128.8	45602	192.168.15.254	80	tcp	HTTP	not a http reply line
1413446761.058843	CmVzGavZxEB5yzth	82.103.128.8	54911	192.168.14.254	80	tcp	HTTP	not a http reply line
1413597620.120990	C1SL634XceScsW1Csi	54.69.6.165	49432	192.168.14.254	80	tcp	HTTP	not a http reply line
1413597620.235483	Czarow32d6kThXAxg	54.69.6.165	44908	192.168.13.254	80	tcp	HTTP	not a http reply line
1413597620.292303	Cjat2nKBDEekaHVB2	54.69.6.165	51213	192.168.15.254	80	tcp	HTTP	not a http reply line
1413753277.818798	Cnhw3P18VQjuBTjE49	193.95.6.84	51203	192.168.15.254	80	tcp	HTTP	not a http reply line
1413753277.826406	Cq3Kdy3C08f3xUUw1a	193.95.6.84	56837	192.168.14.254	80	tcp	HTTP	not a http reply line
1413753277.840103	CCAGn24bnNqjzLdxqi	193.95.6.84	35511	192.168.13.254	80	tcp	HTTP	not a http reply line
1414798458.615337	CH0gvP2wToXavobfqc	217.31.48.30	44549	192.168.13.254	80	tcp	HTTP	not a http reply line
1414870464.104474	CDvk1JjojoKzlQw36	81.92.10.186	43672	192.168.13.254	80	tcp	HTTP	not a http reply line
1414870474.351310	CBsRWu1NVC3GtQoDT7	81.92.10.186	43672	192.168.14.254	80	tcp	HTTP	not a http reply line
1414870515.931259	C3GxqN2ShWB07FotAc	81.92.10.186	43672	192.168.15.254	80	tcp	HTTP	not a http reply line
1414926156.205694	CqQ9g41cNOeWJTn3a4	192.3.8.226	35684	192.168.15.254	161	udp	SNMP	binpac exception: out_of_bound: ASN1EncodingMeta:more_len: 68 > 22
1415087333.432690	CTeZLF1gOFAzEFpBsk	94.100.31.178	60088	192.168.0.12	80	tcp	HTTP	not a http request line
1415584003.357831	CAsoXD2xEF5fT6Fcfd	62.210.38.226	51411	192.168.15.254	80	tcp	HTTP	not a http reply line
1415584003.358617	CbOCRR8foZJeDnEc3	62.210.38.226	36134	192.168.13.254	80	tcp	HTTP	not a http reply line
1415584003.362152	CJoWLUVq6uCogeJBb	62.210.38.226	36351	192.168.14.254	80	tcp	HTTP	not a http reply line
1415972267.292751	CinCT04Abn9N7nzZWh	87.245.130.35	4347	192.168.14.254	80	tcp	HTTP	not a http reply line
1415972267.300918	CoNM7D3cUsAgky5Kuf	87.245.130.35	55480	192.168.15.254	80	tcp	HTTP	not a http reply line
1415972267.379105	CalBgZ2g0BHLi18Rve	87.245.130.35	19644	192.168.13.254	80	tcp	HTTP	not a http reply line
1416082298.830393	CRtHLL2xaUKmSM2Uvd	109.109.112.2	46373	192.168.13.254	80	tcp	HTTP	not a http reply line
1416082298.856000	C5C3VI1OeoAYe9fld7	109.109.112.2	34700	192.168.15.254	80	tcp	HTTP	not a http reply line
1416082298.864564	CFueWw2WygOodpH7j6	109.109.112.2	53171	192.168.14.254	80	tcp	HTTP	not a http reply line
1416205293.894446	CV9JLO2Wmo6N31MIGc	219.94.239.50	37118	192.168.0.12	69	udp	SIP	Binpac exception: binpac exception: string mismatch at /build/bro-ICKLbd/bro-2.4.1+dfsg/src/analyzer/protocol/sip/sip-protocol.pac:43: \x0aexpected pattern: "SIP/"\x0aactual data: "\x02\x01"
1416205296.766655	C9oSst19qWjanLLIM7	219.94.239.50	57713	192.168.0.12	162	udp	SNMP	binpac exception: Got ASN.1 tag 0, expect 48
1416205301.766255	C9oSst19qWjanLLIM7	219.94.239.50	57713	192.168.0.12	162	udp	SIP	Binpac exception: binpac exception: string mismatch at /build/bro-ICKLbd/bro-2.4.1+dfsg/src/analyzer/protocol/sip/sip-protocol.pac:43: \x0aexpected pattern: "SIP/"\x0aactual data: "\x02\x01"
1416205312.463746	COJUfItuUita37MQ3	219.94.239.50	49391	192.168.0.13	162	udp	SNMP	binpac exception: Got ASN.1 tag 0, expect 48
