ip	host
1.0.0.24	NA
1.1.1.1	NA
1.11.134.74	NA
1.114.9.241	em1-114-9-241.pool.e-mobile.ne.jp.
1.115.22.217	em1-115-22-217.pool.e-mobile.ne.jp.
1.122.195.70	CPE-1-122-195-70.wwl9.wel.bigpond.net.au.
1.160.11.138	1-160-11-138.dynamic.hinet.net.
1.161.107.8	1-161-107-8.dynamic.hinet.net.
1.162.100.108	1-162-100-108.dynamic.hinet.net.
1.163.0.4	1-163-0-4.dynamic.hinet.net.
1.164.123.71	1-164-123-71.dynamic.hinet.net.
1.165.121.112	1-165-121-112.dynamic.hinet.net.
1.166.1.243	1-166-1-243.dynamic.hinet.net.
1.168.128.133	1-168-128-133.dynamic.hinet.net.
1.169.193.137	1-169-193-137.dynamic.hinet.net.
1.170.112.51	1-170-112-51.dynamic.hinet.net.
1.171.103.92	1-171-103-92.dynamic.hinet.net.
1.172.123.228	1-172-123-228.dynamic.hinet.net.
1.173.102.244	1-173-102-244.dynamic.hinet.net.
1.174.0.147	1-174-0-147.dynamic.hinet.net.
1.175.106.189	1-175-106-189.dynamic.hinet.net.
1.176.121.115	NA
1.177.198.108	NA
1.179.153.250	NA
1.180.66.226	NA
1.181.166.174	NA
1.182.155.77	NA
1.183.225.21	NA
1.186.145.79	NA
1.187.190.76	NA
1.188.37.61	NA
1.189.16.99	NA
1.190.207.18	NA
1.191.148.19	NA
1.192.128.23	192.1.broad.ha.dynamic.163data.com.cn.
1.193.25.75	193.1.broad.ha.dynamic.163data.com.cn.
1.194.122.246	194.1.broad.ha.dynamic.163data.com.cn.
1.195.47.126	195.1.broad.ha.dynamic.163data.com.cn.
1.196.105.173	196.1.broad.ha.dynamic.163data.com.cn.
1.197.186.180	197.1.broad.ha.dynamic.163data.com.cn.
1.199.3.19	199.1.broad.ha.dynamic.163data.com.cn.
1.20.150.76	NA
1.202.100.30	30.100.202.1.static.bjtelecom.net.
1.205.12.138	NA
1.206.134.6	NA
1.209.228.76	NA
1.212.122.107	NA
1.214.119.227	NA
1.220.220.118	NA
1.221.135.3	NA
1.222.126.235	NA
1.223.136.100	NA
1.224.163.10	NA
1.225.142.43	NA
1.226.156.17	NA
1.227.113.63	NA
1.228.145.221	NA
1.229.28.178	NA
1.230.144.96	NA
1.231.128.222	NA
1.232.31.26	NA
1.233.102.76	NA
1.234.20.151	NA
1.236.184.211	NA
